val_acc,adv_acc,train_val_acc,train_adv_acc
0.4915,0.1859,0.48784,0.1908
0.5914,0.1026,0.56804,0.11208
0.6595,0.134,0.6466,0.14874
0.715,0.1491,0.72752,0.16414
0.6964,0.0805,0.70976,0.09078
0.7122,0.1242,0.72544,0.13966
0.7731,0.1125,0.77236,0.1213
0.756,0.0886,0.765,0.09928
0.766,0.1245,0.773,0.1391
0.7664,0.0952,0.77108,0.10674
0.7306,0.0897,0.75272,0.11084
0.8018,0.1156,0.81274,0.1311
0.749,0.1061,0.75702,0.109
0.791,0.0988,0.80468,0.11374
0.7847,0.1211,0.799,0.13208
0.7426,0.1071,0.75914,0.12342
0.7308,0.0901,0.74246,0.10032
0.7145,0.1062,0.72602,0.1164
0.6747,0.1066,0.69198,0.11326
0.792,0.1022,0.80488,0.11272
0.8089,0.1405,0.8222,0.1531
0.7882,0.1001,0.7929,0.11066
0.7716,0.1291,0.79056,0.14468
0.8021,0.1354,0.82086,0.14986
0.729,0.1264,0.76192,0.13338
0.8202,0.1215,0.8297,0.12786
0.8032,0.1211,0.817,0.13026
0.7989,0.1354,0.81366,0.1485
0.7969,0.1212,0.8111,0.13874
0.7643,0.1085,0.77362,0.11558
0.8032,0.1399,0.80942,0.14946
0.8034,0.1259,0.8148,0.14484
0.8135,0.1363,0.83302,0.15422
0.8157,0.1262,0.83052,0.13716
0.7847,0.1031,0.81146,0.11572
0.7789,0.0898,0.79714,0.1079
0.8282,0.1411,0.84244,0.15468
0.8095,0.0988,0.82574,0.1106
0.8106,0.1334,0.83004,0.15256
0.7497,0.1106,0.77696,0.12352
0.7625,0.124,0.77912,0.12804
0.8062,0.1213,0.82664,0.13778
0.7977,0.1403,0.80144,0.15332
0.7932,0.1099,0.81216,0.12686
0.8007,0.1175,0.82022,0.13298
0.829,0.1481,0.84246,0.1561
0.8089,0.1502,0.83164,0.16448
0.8045,0.1554,0.83186,0.16494
0.7737,0.1154,0.79424,0.13044
0.802,0.1251,0.82256,0.13616
0.8933,0.1882,0.91552,0.20226
0.8983,0.1954,0.92562,0.20714
0.8999,0.1937,0.9307,0.20992
0.9015,0.1939,0.93442,0.20974
0.9038,0.195,0.93646,0.21352
0.9024,0.185,0.93772,0.20132
0.9059,0.1935,0.9423,0.2039
0.9065,0.2067,0.94128,0.21866
0.907,0.1914,0.94184,0.208
0.9058,0.188,0.94444,0.20122
0.9038,0.194,0.94582,0.20624
0.9085,0.1757,0.94822,0.19168
0.9031,0.1786,0.94528,0.19086
0.9055,0.1904,0.94928,0.20204
0.9063,0.1971,0.95214,0.20736
0.9066,0.1833,0.9522,0.19486
0.903,0.1716,0.9482,0.18586
0.9053,0.1874,0.94852,0.19862
0.9013,0.1744,0.9491,0.18274
0.905,0.1729,0.9496,0.19452
0.9014,0.1826,0.95196,0.18992
0.9026,0.1767,0.95476,0.19212
0.8997,0.185,0.94908,0.20504
0.9027,0.1749,0.94992,0.18592
0.8931,0.1589,0.9495,0.16472
0.8976,0.181,0.94812,0.1935
0.8955,0.1971,0.94848,0.21024
0.8942,0.173,0.9466,0.18752
0.9026,0.1871,0.9539,0.1901
0.8904,0.1883,0.94472,0.2036
0.9034,0.1737,0.95188,0.18284
0.8967,0.1896,0.9472,0.20006
0.8992,0.2037,0.95042,0.21526
0.8997,0.1704,0.9527,0.1904
0.8817,0.1834,0.93342,0.1914
0.9031,0.165,0.95492,0.17714
0.8951,0.1729,0.94648,0.18684
0.9019,0.1712,0.95344,0.18958
0.9009,0.1733,0.95468,0.1793
0.8972,0.1675,0.94644,0.17496
0.8964,0.1708,0.94932,0.18376
0.8902,0.1729,0.94018,0.1841
0.8957,0.179,0.9525,0.1924
0.8793,0.1748,0.92794,0.19032
0.8981,0.1766,0.95008,0.1882
0.8851,0.1716,0.94264,0.18468
0.8933,0.1957,0.94964,0.209
0.897,0.155,0.94346,0.16692
0.9024,0.1765,0.95018,0.1906
0.8915,0.1881,0.94462,0.20328
0.9188,0.1984,0.97742,0.217
0.9199,0.2039,0.97992,0.22068
0.9226,0.2023,0.98286,0.2184
0.9228,0.2061,0.9838,0.22086
0.9225,0.2112,0.98374,0.22444
0.9227,0.2079,0.9852,0.2235
0.9237,0.2095,0.98626,0.22634
0.9236,0.209,0.98668,0.22336
0.9242,0.2133,0.987,0.22554
0.9232,0.2082,0.98688,0.22646
0.9231,0.2055,0.9879,0.21804
0.9235,0.205,0.9882,0.22254
0.9218,0.2127,0.98872,0.22464
0.9223,0.2114,0.98892,0.22534
0.922,0.2069,0.98888,0.22156
0.923,0.2089,0.98928,0.22276
0.9229,0.207,0.98878,0.22274
0.9226,0.2078,0.9907,0.2251
0.923,0.2066,0.99052,0.21946
0.9242,0.2107,0.99166,0.22664
0.9219,0.211,0.99042,0.22602
0.9235,0.2026,0.99134,0.2206
0.9254,0.2201,0.99224,0.23736
0.9252,0.2155,0.9912,0.23032
0.9232,0.2176,0.99118,0.2292
0.9256,0.2027,0.99174,0.2213
0.9238,0.2067,0.99144,0.22362
0.9245,0.2063,0.99246,0.2177
0.9218,0.2093,0.99232,0.22476
0.9248,0.2114,0.9932,0.22824
0.924,0.2112,0.99304,0.22984
